Feature,LIME Weight,Predicted Close t+1,Date_dt,Model,Coin,Scope,Date
Close_t-1,266.88233983228065,266.88233983228065,2022-03-01,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-01
Close_t-2,255.5795087688373,255.5795087688373,2022-03-01,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-01
Close_t-0,237.61496201412592,237.61496201412592,2022-03-01,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-01
Close_t-3,229.19977488546823,229.19977488546823,2022-03-01,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-01
Close_t-4,200.5109326813804,200.5109326813804,2022-03-01,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-01
Close_t-5,174.73216284453937,174.73216284453937,2022-03-01,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-01
Close_t-6,154.3164564478775,154.3164564478775,2022-03-01,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-01
BTC_t-1,143.52942561985543,143.52942561985543,2022-03-01,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-01
BTC_t-0,137.07359595430012,137.07359595430012,2022-03-01,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-01
Close_t-7,130.4649374084773,130.4649374084773,2022-03-01,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-01
Close_t-1,265.76028607025773,265.76028607025773,2022-03-02,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-02
Close_t-2,253.68899384076084,253.68899384076084,2022-03-02,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-02
Close_t-0,236.8601823721469,236.8601823721469,2022-03-02,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-02
Close_t-3,227.13259643442296,227.13259643442296,2022-03-02,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-02
Close_t-4,202.27046726533356,202.27046726533356,2022-03-02,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-02
Close_t-5,176.6471038936349,176.6471038936349,2022-03-02,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-02
Close_t-6,151.11667755434013,151.11667755434013,2022-03-02,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-02
BTC_t-1,143.7565693590368,143.7565693590368,2022-03-02,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-02
BTC_t-0,136.77076621678262,136.77076621678262,2022-03-02,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-02
Close_t-7,135.91949144432604,135.91949144432604,2022-03-02,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-02
Close_t-1,267.0403675374893,267.0403675374893,2022-03-03,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-03
Close_t-2,253.3557020020237,253.3557020020237,2022-03-03,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-03
Close_t-0,234.974485614357,234.974485614357,2022-03-03,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-03
Close_t-3,228.27963084395225,228.27963084395225,2022-03-03,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-03
Close_t-4,199.8459689103053,199.8459689103053,2022-03-03,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-03
Close_t-5,176.0535319220129,176.0535319220129,2022-03-03,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-03
Close_t-6,153.1295980927677,153.1295980927677,2022-03-03,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-03
BTC_t-1,141.77900474959785,141.77900474959785,2022-03-03,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-03
BTC_t-0,136.4947656829087,136.4947656829087,2022-03-03,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-03
BTC_t-2,135.37271896711772,135.37271896711772,2022-03-03,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-03
Close_t-1,262.0617111593169,262.0617111593169,2022-03-04,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-04
Close_t-2,256.1199161745829,256.1199161745829,2022-03-04,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-04
Close_t-0,239.72350981728331,239.72350981728331,2022-03-04,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-04
Close_t-3,230.110248234915,230.110248234915,2022-03-04,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-04
Close_t-4,202.7169169729047,202.7169169729047,2022-03-04,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-04
Close_t-5,174.90922574344813,174.90922574344813,2022-03-04,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-04
Close_t-6,153.42979187480506,153.42979187480506,2022-03-04,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-04
BTC_t-1,140.71579772523,140.71579772523,2022-03-04,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-04
BTC_t-0,137.1972024242006,137.1972024242006,2022-03-04,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-04
BTC_t-2,136.22221977897345,136.22221977897345,2022-03-04,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-04
Close_t-1,267.8449229668116,267.8449229668116,2022-03-05,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-05
Close_t-2,257.5173093926957,257.5173093926957,2022-03-05,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-05
Close_t-0,240.3783238287864,240.3783238287864,2022-03-05,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-05
Close_t-3,232.25505584708333,232.25505584708333,2022-03-05,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-05
Close_t-4,199.39224542825232,199.39224542825232,2022-03-05,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-05
Close_t-5,172.3559728985671,172.3559728985671,2022-03-05,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-05
Close_t-6,152.76701164539293,152.76701164539293,2022-03-05,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-05
BTC_t-1,143.6408809798074,143.6408809798074,2022-03-05,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-05
BTC_t-2,135.01019396909842,135.01019396909842,2022-03-05,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-05
Close_t-7,132.10885655978385,132.10885655978385,2022-03-05,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-05
Close_t-1,263.8309449687044,263.8309449687044,2022-03-06,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-06
Close_t-2,254.5087865516009,254.5087865516009,2022-03-06,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-06
Close_t-0,239.65992052888305,239.65992052888305,2022-03-06,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-06
Close_t-3,228.04577767439025,228.04577767439025,2022-03-06,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-06
Close_t-4,199.28735338002485,199.28735338002485,2022-03-06,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-06
Close_t-5,174.28587133871025,174.28587133871025,2022-03-06,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-06
Close_t-6,149.61901521503145,149.61901521503145,2022-03-06,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-06
BTC_t-1,139.87102153606426,139.87102153606426,2022-03-06,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-06
Close_t-7,134.42545980316916,134.42545980316916,2022-03-06,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-06
BTC_t-2,134.10283853819897,134.10283853819897,2022-03-06,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-06
Close_t-1,265.73346608173307,265.73346608173307,2022-03-07,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-07
Close_t-2,254.31891455972013,254.31891455972013,2022-03-07,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-07
Close_t-0,236.6027322957892,236.6027322957892,2022-03-07,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-07
Close_t-3,231.8766657725062,231.8766657725062,2022-03-07,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-07
Close_t-4,199.67411882935696,199.67411882935696,2022-03-07,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-07
Close_t-5,173.189056748557,173.189056748557,2022-03-07,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-07
Close_t-6,150.26286316683988,150.26286316683988,2022-03-07,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-07
BTC_t-1,141.76818087127873,141.76818087127873,2022-03-07,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-07
BTC_t-2,135.71200428100704,135.71200428100704,2022-03-07,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-07
Close_t-7,132.335628331843,132.335628331843,2022-03-07,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-07
Close_t-1,265.1024301546664,265.1024301546664,2022-03-08,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-08
Close_t-2,255.3805082942835,255.3805082942835,2022-03-08,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-08
Close_t-0,235.08787400399936,235.08787400399936,2022-03-08,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-08
Close_t-3,230.9461399929713,230.9461399929713,2022-03-08,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-08
Close_t-4,198.40983723583207,198.40983723583207,2022-03-08,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-08
Close_t-5,173.99337103031806,173.99337103031806,2022-03-08,Deep Learning LSTM,ETH - Ethereum,1 day ahead,2022-03-08
